f3,v3,tot3,prov,reg,scl,nahm,durb,nch06,nch711,nch1217,nch18
3583.3885,3078,22671.3674,11,5,1,1,12,0,0,0,1
5531.4345,0,17576.8038,11,5,4,2,12,0,0,0,2
11666.4685,1186.5,44699.6315,8,2,4,2,5,2,1,0,2
8062.6756,139,57335.6786,8,2,1,2,7,1,0,0,2
5376.264,175,17203.1697,11,5,4,2,5,0,0,0,2
5071.3255,4292.5,51340.7255,11,5,4,2,10,0,0,0,2
1357.9771,3179.9,15666.1931,10,5,2,1,12,0,0,0,1
5809.7056,1199.74,29282.1141,11,5,1,2,12,3,0,0,2
6776.3359,21.3,19899.8416,7,2,4,2,8,1,0,0,2
8630.0718,1614.37,52769.2508,2,3,4,2,11,0,2,0,2
10038.657,0,29995.6608,2,3,2,2,4,0,0,0,2
4505.1788,5196.16,35665.9931,3,3,2,2,10,0,0,0,2
7950.8491,959,29511.2644,5,4,4,2,6,0,0,0,2
9328.4344,21.95,27757.9503,5,4,3,2,8,0,0,0,2
6932.6261,300,32431.6911,5,4,4,3,9,0,0,1,2
6977.9478,2920.75,38645.1988,6,2,2,2,7,0,0,0,2
10845.4386,269.8,28912.8773,7,2,4,2,7,0,0,0,2
8901.9807,0,32724.4956,7,2,2,2,6,1,2,0,2
12552.7834,4959.6,63671.0234,7,2,2,3,6,0,0,0,3
9435.2316,2000,26043.5506,8,6,3,1,7,0,0,0,1
3108.6767,100,22231.1562,8,6,4,1,7,0,0,0,1
6390.6622,1610.25,53412.8542,8,2,2,2,11,0,0,0,2
3200.2698,0,23149.6804,8,2,4,1,6,0,0,0,1
